v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,anchor_x,anchor_y,anchor_z
9.0,0.0,4.440892098500626e-16,0.0,-5.1039048403038265,3.1543866885851513,-4.5,-17.448047579848087,-1.5771933442925758
8.877251723084246,1.4813513577128816,4.440892098500626e-16,0.8400751563951108,-5.034294254904381,3.1543866419075037,-1.5667714397396786,-17.950754551404252,-1.577193320953752
8.512355220448564,2.922295091345511,4.440892098500626e-16,1.6572351242768906,-4.827361242000322,3.154386657037479,1.4091938276372726,-17.963811924672594,-1.5771933285187396
7.915263725152743,4.2835266033119375,4.440892098500626e-16,2.4291902415066833,-4.488750317373171,3.154386685054793,4.346721016670287,-17.486863142969383,-1.5771933425273967
7.102264604984624,5.5279143879751445,4.440892098500626e-16,3.1348832448063515,-4.027698105958368,3.154386629551263,7.165680075104513,-16.532918141008388,-1.5771933147756316
6.095534124444971,6.621515214641352,4.440892098500626e-16,3.7550648697006714,-3.456780708160725,3.1543866218375505,9.789178502927179,-15.127998253240314,-1.5771933109187755
4.922533305014172,7.53449838151328,4.440892098500626e-16,4.2728180791759645,-2.7915712813234332,3.1543866984815416,12.145654307904932,-13.310426550094922,-1.577193349240771
3.615258676215916,8.24196000378827,4.440892098500626e-16,4.674019948789301,-2.050215138741274,3.1543866920838592,14.170827687497393,-11.129780432523498,-1.5771933460419298
2.2093694268168598,8.724602382678935,4.440892098500626e-16,4.94772671046309,-1.2529345919585353,3.154386676811164,15.809456931360025,-8.645543895360198,-1.5771933384055823
0.7432141797671861,8.96926043121689,4.440892098500626e-16,5.086472409682102,-0.4214771606712535,3.1543866961067435,17.016846705275356,-5.925478635272818,-1.577193348053372
-0.7432141797671861,8.96926043121689,4.440892098500626e-16,5.086472409682102,0.42147716067125174,3.1543866961067435,17.76006088504254,-3.0437817959440707,-1.577193348053372
-2.2093694268168544,8.724602382678935,4.440892098500626e-16,4.947726710463094,1.2529345919585335,3.154386676811164,18.01882635817688,-0.07905848731873455,-1.5771933384055823
-3.6152586762159125,8.241960003788272,4.440892098500626e-16,4.674019948789304,2.0502151387412724,3.1543866920838592,17.786086363713306,2.8878204287352283,-1.5771933460419298
-4.922533305014172,7.5344983815132816,4.440892098500626e-16,4.272818079175963,2.7915712813234324,3.1543866984815416,17.068187612919104,5.775928168581642,-1.577193349240771
-6.095534124444965,6.621515214641354,4.440892098500626e-16,3.755064869700675,3.456780708160723,3.1543866218375505,15.884712627372146,8.506483038598962,-1.5771933109187755
-7.102264604984624,5.5279143879751445,4.440892098500626e-16,3.1348832448063533,4.027698105958368,3.154386629551263,14.267944680089137,11.005003753033243,-1.5771933147756316
-7.915263725152742,4.283526603311941,4.440892098500626e-16,2.429190241506685,4.488750317373167,3.154386685054793,12.261984741823028,13.203336539657446,-1.5771933425273967
-8.512355220448566,2.922295091345516,4.440892098500626e-16,1.657235124276891,4.82736124200032,3.154386657037479,9.921549048085836,15.041516833327082,-1.5771933285187396
-8.877251723084246,1.4813513577128816,4.440892098500626e-16,0.8400751563951108,5.034294254904381,3.1543866419075037,7.3104802833445675,16.46940319369137,-1.577193320953752
-9.0,3.552713678800501e-15,4.440892098500626e-16,1.7763568394002505e-15,5.103904840303823,3.1543866885851513,4.499999999999999,17.448047579848087,-1.5771933442925758
9.0,-3.552713678800501e-15,4.440892098500626e-16,0.0,-4.968403371637233,3.363772872341973,-4.5,-22.51579831418138,-1.6818864361709867
8.877251731707581,1.4813513060360606,4.440892098500626e-16,0.817772315995084,-4.900640839704472,3.3637728519346703,-0.7326470238513325,-22.949388233165795,-1.6818864259673354
8.512355138848193,2.922295329039283,4.440892098500626e-16,1.6132380005884812,-4.699201565301461,3.3637728523379185,3.0546904302816644,-22.75697788186891,-1.6818864261689594
7.915263766841691,4.283526526277509,4.440892098500626e-16,2.3646986324405868,-4.369580365625236,3.363772852925126,6.7587038003588615,-21.943817080326138,-1.6818864264625633
7.102264564312733,5.5279144402303935,4.440892098500626e-16,3.0516565190251246,-3.9207683461581873,3.3637728915096914,10.278357458331072,-20.532086047036103,-1.681886445754846
6.095534089059232,6.621515247216216,4.440892098500626e-16,3.6553732101209313,-3.3650080349650295,3.363772825169825,13.517644350409917,-18.560292606125593,-1.6818864125849127
4.922533457156263,7.534498282113894,4.440892098500626e-16,4.159380752363113,-2.7174590991896537,3.363772852185867,16.388204895240314,-16.08222359146212,-1.6818864260929338
3.61525886133985,8.241959922585387,4.440892098500626e-16,4.549931298631282,-1.9957849346960188,3.3637728330218497,18.811737920014433,-13.165473493944685,-1.681886416510925
2.2093692474105104,8.724602428110789,4.440892098500626e-16,4.816371574733669,-1.2196708479268707,3.3637728634399267,20.72213658892791,-9.88960279009196,-1.6818864317199635
0.7432141438685207,8.969260434191538,4.440892098500626e-16,4.951433788982577,-0.4102875205152934,3.3637728198900505,22.067288033574453,-6.3439704568381226,-1.6818864099450255
-0.7432141438685207,8.969260434191538,4.440892098500626e-16,4.951433788982577,0.4102875205152898,3.3637728198900505,22.810502177442974,-2.6252899773534137,-1.6818864099450255
-2.2093692474105104,8.724602428110789,4.440892098500626e-16,4.816371574733669,1.219670847926869,3.3637728634399267,22.93150583633842,1.1650003619811704,-1.6818864317199635
-3.615258861339843,8.241959922585387,4.440892098500626e-16,4.549931298631282,1.9957849346960153,3.3637728330218497,22.42699678135428,4.923513571359299,-1.681886416510925
-4.922533457156263,7.534498282113892,4.440892098500626e-16,4.159380752363113,2.717459099189652,3.363772852185867,21.310738352396577,8.547725309348229,-1.6818864260929338
